"Source Name","Live Substance Count","On-Hold Substance Count","Live BioAssay Count","On-Hold BioAssay Count","Linked Substance Count","Annotation Count","Classification Count","Source Category","Source URL","DSN","Organization","Contact Full Name","Address","City","State","Postcode","Country","Last Updated","Description","License URL","License Note","Pathway Count"
"AAA Chemistry",118740,"","","","","","","Legacy Depositors, Chemical Vendors","http://www.aaa-chem.com","AAA Chemistry","AAA CHEMISTRY","Michael Lund","30 Canton Road, TST","Hong Kong","","","Hong Kong","2011/01/04","","","",""
"Aaron Chemicals LLC",110562,"","","","","","","Chemical Vendors","http://www.aaronchem.com",24209,"Aaron Chemicals LLC.","Stephen Wang","G221 15th floor, Ningliu Road, Nanjing Jiangbei New Area","Nanjing","Jiangsu","","China","2021/12/09","Aaron Chemicals LLC provides quality chemicals for use in research and development. Aaron offers over 80,000 in-stock products including building blocks, screening compounds, reference standards, catalysts and so on.","","",""
"AAT Bioquest",150,"","","","","","","Chemical Vendors","https://www.aatbio.com/",24138,"AAT BioQuest","K Chico","520 Mercury Drive","Sunnyvale","California",94085,"United States","2020/06/10","AAT Bioquest is a US-based bioreagents company that specializes in assay technologies. Its products include reactive fluorescent and luminescent probes, biotins and tag enzymes, signal transduction reagents, and physiological and neurological probes.","","",""
"AbaChemScene",352376,"","","","","","","Chemical Vendors","https://www.chemscene.com/",1010,"AbaChemScene, LLC","Huan Gao","11 Deer Park Drive, Suite 102D","Monmouth Junction","NJ",08825,"United States","2022/07/11","","","",""
"Abacipharm Corp",2,"","","","","","","Legacy Depositors, Chemical Vendors","http://www.abacipharma.com",23610,"Abacipharm Corporation","Emma Chuang","Suite 212 ,9520 Berger Road","Columbia","Maryland",21046,"United States","2022/03/03","Abacipharm Corp. is a manufacturer and supplier of chemicals of carbohydrate and OLED /OPV materials headquartered in Maryland, USA and manufactured in Jinan, China. As a global enterprise designed to cater to the chemical procurement needs of the industrial sector and academia, Abacipharm's production capabilities allow for high quality products and reliable service at a competitive price.","","",""
"ABBLIS Chemicals",10624,"","","","","","","Legacy Depositors, Chemical Vendors","http://www.abblis.com/",732,"Abblis Chemicals LLC","Yolanda Xiang","9330 Kirby Drive, Suite 200, Houston, TX 77054, USA","TX","TX",77054,"United States","2013/09/04","","","",""
"Abbott Labs",52664,"",2,"",7667,"","","Legacy Depositors, Research and Development","https://www.abbott.com/","Abbott Labs","Abbott","Philip Hajduk","100 Abbott Park Road","Abbott Park","IL",60064,"United States","2011/12/02","","","",""
"abcr GmbH",350776,"","","","","","","Chemical Vendors","https://www.abcr.de/en/",14207,"abcr GmbH","Bernard D'Alwis","Im Schlehert 10","Karlsruhe","Baden-Wuerttemberg",76187,"Germany","2022/07/20","abcr GmbH offers ""gute Chemie"" in the form of more than 100,000 specialty chemicals that we supply to major pharmaceuticals and chemical companies.","","",""
"Abe Lab, University of Texas MD Anderson Cancer Center",2000,"",1,"",2000,"","","Journal Publishers","https://faculty.mdanderson.org/profiles/jun-ichi_abe.html",24565,"University of Texas MD Anderson Cancer Center","Jun-ichi Abe","1515 Holcombe Boulevard, Unit 1057","Houston","TX",77030,"United States","2021/02/06","The major goal of the Abe laboratory is to understand the molecular mechanisms of atherosclerosis formation and heart failure, and to determine the mechanistic underpinning on why diabetes and certain cancer therapy significantly increase the risk of developing cardiovascular diseases (CVD). They have focused on the role of the mitogen-activated protein kinase (MAP) family and have sought the mechanisms responsible for oxidative, hyperglycemia, and hypoxic injury to the vascular endothelium and the heart.","","",""
"ABI Chem",7952950,"","","","","","","Legacy Depositors, Chemical Vendors","http://www.abichem.com",708,"abi chemicals","Paola Cadine","SAMOASTRASSE 79","MUNCHEN","MUNCHEN",58356,"Germany","2011/04/01","","","",""
"AbMole Bioscience",7223,"","","","","","","Chemical Vendors","http://www.abmole.com/",850,"Abmole Bioscience Inc.","Jolie Huang","8300 FM 1960 West, Suite 450 Houston, TX 77070, USA","Houston","TX",77070,"United States","2022/07/01","AbMole BioScience provides high purity life science reagents such as kinase inhibitors for laboratory research. The collection includes over 5,000 inhibitors on HDAC, PI3K, Apoptosis and more signaling pathways in stock.","","",""
"AbovChem LLC",13022,"","","","","","","Chemical Vendors","http://www.abovchem.com",15389,"AbovChem LLC","Ian Pan","2000 Hartel Street","Levittown","PA",19057,"United States","2016/12/07","Abovchem contains reference tool compounds for assay validation and building blocks for medicinal chemistry. Abovchem was founded by MedChem and CMC veterans to serve the Drug Discovery community. Abovchem is a company of BirdoTech Pharma Group and the platform of Catalog Reagent and Compound Management.","","",""
"Abu Montakim Tareq, International Islamic University Chittagong",2,"","","","","","","Legacy Depositors, Research and Development","https://www.researchgate.net/profile/Abu_Tareq4",23649,"International Islamic University Chittagong","Abu Montakim Tareq","Chawkbazar-4203","Chittagong","Others",4203,"Bangladesh","2020/04/13","Abu Montakim Tareq is studying in Bachelor of Pharmacy at International Islamic University Chittagong, Bangladesh. He is doing research in different plant extracts to evaluate the In vivo and In vitro activity and also doing research in computer-aided drug design by using bioinformatics tools.","","",""
"Acadechem",93009,"","","","","","","Chemical Vendors","http://www.acadechemical.com",15394,"Acade Chemical Co., Ltd.","Cindy Zhang","No. 33 Mong Kok Rd","Kowloon","Hong Kong","","China","2019/03/28","Acadechem Company Ltd. is a dynamic research based company dedicated to provide research chemicals, APIS, building blocks, screening compounds, biochemicals, molecular biology reagents.","","",""
"Accela ChemBio Inc.",47940,"","","","","","","Chemical Vendors","http://www.accelachem.com/",4490,"Accela ChemBio Inc.","Maggie Zhao","9883 Pacific Heights Blvd. Ste. H","San Diego","California",92121,"United States","2022/06/14","Accela design, synthesis, manufacture and market advanced R&D chemicals.","","",""
"Acemol",2357,"","","","","","","Chemical Vendors","http://www.acemol.com",10613,"Beijing acemol technology Co.,Ltd","Jin Yonghong","#10,18 East AnNingZhuang Road,HaiDian District","Beijing","Beijing",100029,"China","2017/05/05","","","",""
"Aceschem Inc",14588,"","","","","","","Chemical Vendors","https://www.aceschem.com",23843,"Aceschem Inc","Wang Nancy","5454 Surrey Path,Suite 205","Frisco","Texas",75034,"United States","2020/01/21","Aceschem Inc. is a leading supplier of innovative chemistry compounds. They manufacture advanced pharmaceutical intermediates and fine chemicals ranging from milligrams, kilograms to metric tons.","","",""
"Acesobio",711,"","","","","","","Legacy Depositors, Chemical Vendors","http://acesobio.com/",1061,"Acesobio","Jay Han","125 Greencrest Dr","Middletown","NY",10941,"United States","2013/04/02","","","",""
"Achemica",139412,"","","","","","","Legacy Depositors, Chemical Vendors","http://www.achemica.com",1085,"Achemica","Thomas Meier","Rue du Bourg 24","Aigle","Aigle",1860,"Switzerland","2013/05/21","Achemica specializes in the sales and marketing of chemicals including lab reagents, intermediates, bulk commodities, agro-chemicals, special chemicals, natural ingredients, and active pharmaceutical ingredients (API). Achemica's customers include biotech, pharmaceutical, agricultural research companies and universities worldwide.","","",""
"Achemo Scientific Limited",81853,"","","","","","","Chemical Vendors","http://www.achemo.com",11832,"Achemo scientific Limited","Allison Lee","38 Plaza, 38 Shan Tung St Mongkok","Kowloon","Hong Kong","","China","2020/01/03","Achemo Scientific Limited is honored as the high-tech enterprise which engaged in researching, developing, manufacturing and exporting advanced pharmaceutical intermediates and Active Pharmaceutical Ingredients (API), and other fine chemicals. We also offer custom synthesis services; the laboratories execute syntheses in the range of 50mg-1000kg .Feel free to contact us via phone, fax, or email regarding custom synthesis and bulk quantities.We promise to respond to all queries within 24 hours.","","",""
"Achemtek",75935,"","","","","","","Chemical Vendors","http://achemtek.com/",22018,"ACHEMTEK","Lei Zhang","100 Barber ave.","Worcester","MA",01606,"United States","2019/04/13","A ChemTek, Inc. provides products and services for pharmaceutical, agricultural and environmental R&D and production. Our catalog of special Chemical Reagents includes over 40,000 products guaranteed to be fully characterized and analyzed with high purity before delivery.","","",""
"ACO Pharm Screening Compound",3,"","","","","","","Legacy Depositors, Chemical Vendors","http://www.acopharm.com/en/",10607,"Advanced carbon Organic Pharm Co., Ltd.","Ray Ma","ROOM 328, BUILDING 10, NO.3599 YUAN JIANG ROAD","Shanghai","MIN HANG DISTRICT",201109,"China","2015/03/20","","","",""
"Acorn PharmaTech Product List",61380,"","","","","","","Legacy Depositors, Chemical Vendors","http://www.acornpharmatech.com",881,"Acorn PharmaTech, LLC","James Wu","524 Shorebird Circle, Suite 15204","Redwood City","CA",94065,"United States","2020/04/10","","","",""
"ACT Chemical",10492,"","","","","","","Chemical Vendors","http://www.actchemical.com",1198,"Shanghai ACT chemical Limited","Jerry Zhang","Building 3, Lane 560 Zhongren Road","Shanghai","Shanghai",201802,"China","2018/04/09","Shanghai ACT chemical Co.Ltd  specializes in pharmaceutical intermediates, APIs,building blocks and other fine chemicals.","","",""
"Activate Scientific",107338,"","","","","","","Chemical Vendors","https://shop.activate-scientific.com/",15657,"Activate Scientific","Robert Josef Schmitt","Am Mitterweg 12","Prien","Bavaria","D-83209","Germany","2021/08/18","Activate Scientific is a Catalogue supplier of multifunctional building blocks and complex scaffolds specialised in the field of medicinal chemistry drug discovery.  We are monitoring the latest trends in publications with our catalogue now offering 42.000 novel heterocyclic Synthons, which are readily available from stock through our worldwide offices.","","",""
"Active Biopharma",1057,"","","","","","","Legacy Depositors, Chemical Vendors","http://activebiopharma.com",1009,"Active Biopharma Corp","Jie Tang","Joinhands Sci Park No.4028 Nanhuan RD","Hangzhou","Zhejiang",310053,"China","2015/07/19","Active Biopharma Corp researches and develops bio-active and drug-like molecules. The company aims to provide dedicated chemistry services for the pharmaceutical, biotech industry around the world. It employs experts with extensive backgrounds in medicinal chemistry, process chemistry and academia.","","",""
"Adooq BioScience",5743,"","","","","","","Chemical Vendors","https://www.adooq.com/",914,"Adooq BioScience, LLC","Eason Ding","4000 Barranca Parkway, Suite 250","Irvine","CA",92604,"United States","2019/05/07","Adooq Bioscience is one of the world leading suppliers of high purity inhibitors, chemical probes and reference compounds for research fields. Adooq supplies over 6000 products with in-house validated biological and pharmacological activities, and a unique collection of over 3000 inhibitors on HDAC, PI3K, Apoptosis and more signaling pathways.","","",""
"Advanced Technology & Industrial Co., Ltd.",118,"","","","","","","Chemical Vendors","http://www.advtechind.com/",22044,"Advanced Technology & Industrial Co.","Sea Yang","Unit B, 1/F., Cheong Shing Bldg., 17 Walnut St., Tai Kok Tsui, Kln","Hong Kong","Kowloon",000000,"Hong Kong","2018/05/21","Advanced Technology & Industrial Co., Ltd. is a key laboratory distributor serving industrial & research needs since 1993. Items supplied include Laboratory Products, Instrument / Equipment, Analyzer, Fine Chemical, Filtration / Separation Product for Teaching, Research, Quality Control, Medical / Hospital, Environmental & Industrial (Diagnostic / Pharmaceutical / Electronic etc.) Applications.","","",""
"AEchem Scientific Corp., USA",61917,"","","","","","","Chemical Vendors","https://www.aechemsc.com/",11754,"AEchem Scientific Corporation, USA","Jerry Wang","5413 Walnut Avenue, Suite 2D","Downers Grove","Illinois",60515,"United States","2021/06/18","","","",""
"Agios Pharmaceuticals",3,"","","","","","","Research and Development","https://www.agios.com/",24454,"Agios Pharmaceuticals","Zenon Konteatis","88 Sidney St","Cambridge","MA",07928,"United States","2020/11/19","Agios is a biopharmaceutical company discovering and developing novel investigational medicines to treat cancer and rare genetic diseases.","","",""
"AHH Chemical co.,ltd",172113,"","","","","","","Chemical Vendors","http://www.ahhchemical.com",11801,"AHH Chemical co.,lttd","Hermione Ho","Room 901,HaoYuan Blg,266 TongJiang Rd","Changzhou","Jiangsu",213022,"China","2019/01/30","AHH Chemical Co., Ltd is a global supplier of fine chemicals, pharmaceutical intermediates, APIs, and natural products. Those chemicals are widely used in the pharmaceutical and fine chemical industries and in research laboratories.","","",""
"AIBioTech, LLC",5,"","","","","","","Legacy Depositors, Chemical Vendors","http://www.aibiotech.com/",11783,"AIBioTech","Karen Carter","601 Biotech Dr","Richmond","VA",23235,"United States","2015/09/10","","","",""
"AK Scientific, Inc. (AKSCI)",158022,"","","","","","","Chemical Vendors","https://aksci.com/",1088,"AK Scientific, Inc.","Jane Lee","30023 Ahern Ave","Union City","CA",94587,"United States","2016/01/06","","","",""
"AKos Consulting & Solutions",23278706,"","","","","","","Chemical Vendors","http://www.akosgmbh.de/AKosSamples/index.html","AKos Consulting & Solutions","AKos GmbH","Hans-Juergen Himmler","Am Bachle 3","Lorrach","",79540,"Germany","2021/07/20","AKos Consulting & Solutions GmbH sells compounds, software, and databases for chemical and pharmaceutical research & development. They cooperate with programmers to offer resources for custom programming.","","",""
"Alagar Yadav, Karpagam University",2,"","","","","","","Legacy Depositors, Research and Development","",879,"Karpagam University","Sangilimuthu Alagar Yadav","Pollachi Main Road, Eachanari","Coimbatore","Tamilnadu","641 021","India","2012/04/30","Alagar Yadav, Karpagam University isolated Barlerinoside from Barleria noctiflora L. f. leaves","","",""
"Alcatraz Chemicals",28,"","","","","","","Chemical Vendors","http://www.alcatrazchemicals.com",10670,"ALCATRAZ CHEMICALS","Rajendra Singh","606 , STERLING CENTER ,R.C.DUTT ROAD","VADODARA","GUJARAT",390007,"India","2021/10/22","Alcatraz Chemicals manufactures high technology Pharmaceutical Intermediates.","","",""
"AlchemyPharm",1016,"","","","","","","Chemical Vendors","https://www.alchemypharm.com/",23689,"AlchemyPharm Co., Ltd.","Joyce Ye","No. 4028, South Ring Road, Puyan Street, Binjiang District","Hangzhou","Zhejiang",310053,"China","2019/12/19","AlchemyPharm Co., Ltd. is a high-tech enterprise integrating R&D, production and sales. The company is mainly engaged in research and development, production and sales of various pharmaceutical intermediates and APIS.","","",""
"Alfa Chemistry",167681,"","","","","","","Chemical Vendors","https://www.alfa-chemistry.com/",11764,"Alfa Chemistry","Brenda Randy","","","","","United States","2021/10/21","Alfa Chemistry offers an extensive catalog of building blocks, reagents, catalysts, reference materials, and research chemicals in a wide range of applications. We also provide analytical services and laboratory services to our customers.","","",""
"Alichem",431690,"","","","","","","Chemical Vendors","https://www.alichem.com/",17774,"Alichem","Jin Lucia","7925 Silverton Ave., Suite 517","San Diego","CA",92126,"United States","2019/12/19","Alichem provides specialty chemicals in the field of basic science and small molecular chemistry, covering pharmaceutical intermediates, pesticide impurities, chromatographic analysis, precious metal catalysts, electronic chemistry, biological technology, standard products, and quality inspection.","","",""
"Alinda Chemical",35310,"","","","","","","Chemical Vendors","http://www.alinda.ru/index_en.html","Alinda Chemical","Alinda Chemical Ltd","Svetlana Dobrova","Kuskovskaya St., 20A","Moscow","Moscow",111141,"Russia","2022/07/01","Alinda Chemical Limited is a producer and distributor of building blocks, novel intermediate screening compounds for discovery research in Life Sciences worldwide. Most of our Buildings Block compounds are synthesized in Alinda Chemical Ltd. laboratories by our high-qualified and professional chemists. Moreover, Alinda Chemical broadens its catalog of Building Blocks in accordance with the newest development and current research. Alinda Chemical Ltd. cooperates and collaborates with leading scientific and developing centers, Universities and Research Institutes in Russia.","","",""
"ALKEMIX",27,"","","","","","","Chemical Vendors","https://alkemix.eu/",23936,"ALKEMIX","Peter Novem","","Bratislava","","","Slovakia","2022/02/28","ALKEMIX provides a fine chemical synthesis and supplier service.","","",""
"Allbio Pharm Co., Ltd",27101,"","","","","","","Chemical Vendors","http://www.allbiopharm.com",24478,"Allbio pharm Co., Ltd","Anna Liu","Ronghe building 701, East Taihu Road 11188","Suzhou","Jiangsu",215000,"China","2022/07/01","Allbio pharm Co., Ltd is a provider of innovative chemistry products and services throughout the pharmaceutical R&D and commercial production. They serve domestic and foreign high-end R&D institutions with more than 3000 chemicals in stock and 25000 synthesized products.","","",""
"Alliance of Genome Resources","","","","","",209879,"","Curation Efforts","https://www.alliancegenome.org/",25322,"Alliance of Genome Resources","Alliance Staff","600 Main St.","Bar Harbor","ME",04609,"United States","2022/07/10","The Alliance of Genome Resources (the Alliance) develops and maintains sustainable genome information resources that facilitate the use of diverse model organisms in understanding the genetic and genomic basis of human biology, health and disease.","https://www.alliancegenome.org/privacy-warranty-licensing","All annotations and data produced by Alliance members that are accessible from alliancegenome.org are distributed under a CC BY 4.0 license (https://creativecommons.org/licenses/by/4.0/).",""
"Alomone Labs",239,"","","","","","","Chemical Vendors","https://www.alomone.com/",23197,"Alomone Labs Ltd.","daniel avital","Jerusalem BioPark (JBP), Hadassah Ein Kerem","Jerusalem","Israel",9104201,"Israel","2019/07/18","Alomone Labs is a leading supplier of Ion Channel, GPCR and Neural Signaling tools. They specialize in the design and production of high quality primary antibodies, small molecules, peptide toxins, and proteins. Established in 1989, Alomone Labs has become the most comprehensive source of ion channel research tools used by scientists worldwide.","","",""
"Alsachim",5051,"","","","","","","Chemical Vendors","https://www.alsachim.com/en/","Alsachim","Alsachim","Renaud PIERRON","160 rue Tobias Stimmer","ILLKIRCH GRAFFENSTADEN","Bas-Rhin",67400,"France","2015/11/02","ALSACHIM is an independent contract research and development organisation that specialises in stable isotope-labelled compounds, metabolites and pharmaceutical related substances, and analytical purposes. Moreover, we have a team which is dedicated to produce in-house our own stable labeled buildings Blocks (or labeled raw material) in order to speed up the production of your stable labeled internal standard.","","",""
"Amadis Chemical",123421,"","","","","","","Chemical Vendors","https://www.amadischem.com/",813,"Amadis Chemical Co.,Ltd.","Fred Chen","No.166 Xiangmao Road","Hangzhou","Zhejiang",310015,"China","2021/10/22","Amadis Chemical Company Limited manufactures and sells carbohydrates, nucleosides, nucleotides, phosphoramidites,APIs and pharmaceutical intermediates.","","",""
"Amatye",81,"","","","","","","Legacy Depositors, Chemical Vendors","http://www.amatye.com","Amatye","Amatye, Inc.","Eric Wang","4521 Campus Drive, #182","Irvine","CA",92612,"United States","2010/07/08","","","",""
"Ambeed",197783,"","","","","","","Chemical Vendors","https://www.ambeed.com/",23210,"Ambeed, Inc.","Freya Williams","3205 N Wilke Rd, Ste 3205-125","Arlington Heights","Il",60004,"United States","2022/07/14","Ambeed serves customers worldwide with 100,000 handpicked compounds. The catalog of products includes building blocks, advanced intermediates, amino acids and peptides, catalysts and ligands, natural products, nucleotides etc. Ambeed provides customers with bulk manufacturing and can source most material.","","",""
"Ambinter",9998469,"","","","","","","Chemical Vendors","http://www.ambinter.com","Ambinter","AMBINTER SARL","Eric Paya","3, allee du titane","Orleans","France",45100,"France","2018/05/26","Ambinter is a global supplier of advanced chemicals for drug discovery applications. We supply worldwide screening compounds, building blocks or natural compounds from mg to few gram scales. We also propose custom synthesis. Ambinter is a brand of Greenhparma SAS.","","",""
"Ambit Biosciences",38,"",1,"",38,"","","Legacy Depositors, Chemical Vendors","http://www.ambitbio.com/","Ambit Biosciences","Ambit Biosciences","Patrick Zarrinkar","4215 Sorrento Valley Blvd","San Diego","CA",92121,"United States","2017/01/24","","","",""
"AmicBase - Antimicrobial Activities",610,"","","","","","","Legacy Depositors, Chemical Vendors","http://www.reviewscience.com",770,"ReviewScience","Alexander Pauli","Fuerther Str. 13","Zirndorf","Bavaria",90513,"Germany","2011/08/08","AmicBase is a database about antimicrobial properties of antibiotics, antimycoticsm disinfectants and antiseptics, which are licensed elsewhere in the world. It is the only information source of its kind.","","",""
"Ampyridine Co.,Ltd",1873,"","","","","","","Chemical Vendors","https://www.ampyridine.com/",23692,"Ampyridine Co.,Ltd","Kevin Lian","Modern Industrial Park of Tianzihu Town","Huzhou","Zhejiang",313300,"China","2019/10/29","Ampyridine Co., Ltd is a manufacturer of pyridine compounds which is specialized in pyridine API, advanced intermediates and pyridine derivatives.","","",""
"AN PharmaTech",34292,"","","","","","","Legacy Depositors, Chemical Vendors","http://www.anpharma.net",4456,"AN PharmaTech Co.,Ltd","Zhang Ynes","No 88 Jianshe Rd","Shanghai","Shanghai",201320,"China","2015/01/06","AN PharmaTech Co Ltd supply  high quality Chemicals for Research, Development and Manufacturing. As a global product supplier, it specializes in manufacturing and supplying active pharmaceutical ingredients ,Fine Chemicals  integrated with featured services including custom synthesis ,contract manufacturing and analytical services, to pharmaceutical, agrochemical, biotechnology sectors together with related industries and applications.

 AN offers custom synthesis and contract manufacturing services in a wide range of fields including novel building blocking, templates, reference standard compounds, impurities, by-products, active pharmaceutical ingredients and advanced intermediates.","","",""
"Angayarkanni Lab, Department of Microbial Biotechnology, Bharathiar University",16,"","","","","","","Governmental Organizations","https://b-u.ac.in/19/department-microbial-biotechnology",17803,"Bharathiar University","Murugesh Easwaran","Bharathiar University, Marudhamalai Road","Coimbatore","TAMIL NADU",641046,"India","2017/10/20","The Angayarkanni laboratory works on anti-cancer metabolites from Microbial source.","","",""
"Angel Pharmatech Ltd.",62528,"","","","","","","Chemical Vendors","http://www.angelpharmatech.com",23506,"Angel Pharmatech Ltd.","Maggie King","No. 70, Xianing Lane 818, Jinshan Industrial Area","Shanghai","Shanghai",201506,"China","2020/07/05","Angel Pharmatech Ltd. is a research-based company offering novel building blocks, intermediates, inhibitors, crosslinkers etc.","","",""
"Angene Chemical",232390,"","","","","","","Chemical Vendors","https://www.angenechemical.com/",940,"Angene Chemical","Darren Wang","3/F, Block D4, NO. 9 Kechuang Road","Nanjing","Jiangsu",210000,"China","2017/05/24","","","",""
"Anitha, Department of Bioinformatics, Karpagam University",1,"","","","","","","Legacy Depositors, Research and Development","http://www.kahedu.edu.in/academic/faculty-of-arts-science-and-humanities/department-of-bioinformatics",1051,"Karpagam University, Research and Development Centre,Bharathiar University","Jebamalai Raj Anitha","Eachanari(P.O)","Coimbatore","Tamilnadu",641021,"India","2013/03/12","","","",""
"Annker Organics",1045,"","","","","","","Legacy Depositors, Chemical Vendors","http://www.annker.com","Annker Organics","Annker Organics Co., Ltd.","Auchin Zhang","Wuhan National Bioindustry Base","Wuhan","Hubei",430074,"China","2012/01/31","","","",""
"Ansion Pharma",80,"","","","","","","Legacy Depositors, Chemical Vendors","http://www.ansionpharma.com",15311,"Ansion Pharma","Ann Xu","Room 3021, building 2, No.598, Guanghua Road, Minhang District","Shanghai","",201108,"China","2016/12/08","","","",""
"Anward",62108,"","","","","","","Legacy Depositors, Chemical Vendors","http://www.anward.com",1046,"Anward","Ashley Cheung","Silvercord Centre Tower One 30 Canton Road, Tsim Sha Tsui Kowloon, Hong Kong","Hong Kong","Hong Kong",000000,"Hong Kong","2013/02/18","","","",""
"AOBChem USA",11124,"","","","","","","Chemical Vendors","https://www.aobchem.com",24083,"AOBChem USA","Luting Lei","7083 Hollywood Blvd. 5th Floor","Los Angeles","CA",90028,"United States","2020/05/13","AOBChem is a leading supplier of building blocks. Their services include catalog products, custom synthesis, bulk intermediates. Labs and scale-up facility in China.","","",""
"AOBIOUS INC",1768,"","","","","","","Chemical Vendors","https://aobious.com/aobious/",5533,"AOBIOUS INC","Phil Gao","9 Blackburn Drive","Gloucester","MA",01930,"United States","2015/09/24","AOBIOUS is a small but fast-growing company that supplies new biologically active drug-like small molecules for the research market worldwide. It is the first company in the world since 2014 in this market to offer QUANTITY ON DEMAND (QOD) service in pricing. It is also the first company in the world since 2016 to offer MolCart (Molarity Calculation Cart(R)) to order product.","","",""
"Apeiron Synthesis",28,"","","","","","","Legacy Depositors, Chemical Vendors","https://www.apeiron-synthesis.com/en/",827,"Apeiron Synthesis Sp. z o.o.","Jacek Bialecki","ul. Klecinska 125","Wroclaw","",51-520,"Poland","2012/03/24","Apeiron Synthesis is a high-tech company based in Poland, established in 2009 to develop  and commercialize new solutions in organic synthesis. Our dedicated team with 10+ years of experience explores new areas of organic chemistry that are highly innovative and are applicable to industry. Situated in a modern Wroclaw Technology Park we have access to the state of the art laboratories.","","",""
